1 1:0.574800 2:0.157900 3:0.910000 4:0.232600 5:0.998000 6:0.314100 7:0.900700 8:0.241900 9:0.972900 10:0.362800 11:0.894200 12:0.251500
1 1:0.017800 2:0.644100 3:0.193400 4:0.815300 5:0.208000 6:0.945300 7:0.237000 8:0.761800 9:0.210300 10:0.955600 11:0.081100 12:0.946000
1 1:0.268200 2:0.229400 3:0.597000 4:0.143400 5:0.746000 6:0.089300 7:0.568600 8:0.183500 9:0.659300 10:0.204200 11:0.626500 12:0.111500
1 1:0.353900 2:0.722400 3:0.440800 4:1.274400 5:0.679600 6:1.237900 7:0.498900 8:1.199600 9:0.602300 10:1.362300 11:0.492400 12:1.209500
1 1:0.489400 2:0.232200 3:0.944400 4:0.159900 5:1.136500 6:0.110000 7:0.997000 8:0.094000 9:1.083900 10:0.192500 11:0.998600 12:0.097000
1 1:0.886400 2:0.145700 3:1.449500 4:0.161200 5:1.558100 6:0.287200 7:1.467800 8:0.138300 9:1.645400 10:0.212600 11:1.511700 12:0.080600
1 1:0.210900 2:0.604500 3:0.299500 4:0.982100 5:0.522100 6:0.905100 7:0.358100 8:0.909100 9:0.416200 10:1.046800 11:0.356100 12:0.915400
1 1:0.538100 2:0.200800 3:0.918500 4:0.228100 5:1.066400 6:0.230800 7:0.906200 8:0.236800 9:0.981400 10:0.353500 11:0.885600 12:0.267900
1 1:0.109000 2:0.732800 3:0.259200 4:1.042400 5:0.345300 6:1.126100 7:0.212000 8:1.099000 9:0.355200 10:1.139400 11:0.240000 12:1.065500
1 1:0.069500 2:0.407600 3:0.170800 4:0.563600 5:0.130600 6:0.720500 7:-0.012900 8:0.786100 9:0.141500 10:0.720300 11:0.068500 12:0.686700
1 1:0.291600 2:0.261800 3:0.323300 4:0.567100 5:0.543400 6:0.438600 7:0.456100 8:0.407900 9:0.416800 10:0.606500 11:0.394900 12:0.484500
1 1:0.333900 2:0.687500 3:0.455800 4:1.153400 5:0.617200 6:1.192000 7:0.550200 8:1.038800 9:0.620200 10:1.225200 11:0.581100 12:1.007600
1 1:0.434100 2:0.446800 3:0.611600 4:0.783500 5:0.731400 6:0.850300 7:0.638300 8:0.751100 9:0.833800 10:0.752300 11:0.684600 12:0.698800
1 1:0.089900 2:0.496200 3:0.167000 4:0.747800 5:0.183100 6:0.857900 7:0.160300 8:0.755900 9:0.148100 10:0.917000 11:0.153900 12:0.760500
1 1:0.250900 2:0.441500 3:0.325300 4:0.777400 5:0.323700 6:0.937900 7:0.209300 8:0.914600 9:0.347000 10:0.931300 11:0.231800 12:0.885400
1 1:0.042700 2:0.616400 3:0.151600 4:0.865700 5:0.084100 6:1.095600 7:0.126100 8:0.899200 9:0.154900 10:1.029100 11:0.076300 12:0.962500
1 1:0.300000 2:0.284300 3:0.503600 4:0.408100 5:0.610400 6:0.422900 7:0.481000 8:0.438000 9:0.560000 10:0.501200 11:0.479100 12:0.436400
1 1:0.311100 2:0.375100 3:0.465100 4:0.612100 5:0.636200 6:0.568100 7:0.502000 8:0.563000 9:0.658000 10:0.558300 11:0.505900 12:0.564600
1 1:0.592900 2:0.475300 3:0.767200 4:0.942400 5:0.857200 6:1.086400 7:0.797800 8:0.895800 9:0.946900 10:1.005600 11:0.753700 12:0.950600
1 1:0.154400 2:0.390500 3:0.170800 4:0.694800 5:0.116600 6:0.879900 7:0.173100 8:0.690500 9:0.237900 10:0.752200 11:0.196800 12:0.663200
1 1:0.408300 2:0.627700 3:0.507800 4:1.137300 5:0.568200 6:1.305400 7:0.622900 8:1.002100 9:0.698000 10:1.180200 11:0.648700 12:0.971000
1 1:0.053200 2:0.319400 3:0.160200 4:0.412400 5:0.144900 6:0.513200 7:0.176200 8:0.392800 9:0.211100 10:0.443500 11:0.178100 12:0.389600
1 1:0.595900 2:0.193900 3:0.986300 4:0.243200 5:1.230900 6:0.145300 7:1.001400 8:0.218100 9:1.243900 10:0.157200 11:0.950100 12:0.282300
1 1:0.439200 2:0.173000 3:0.746700 4:0.197200 5:0.767300 6:0.327900 7:0.836000 8:0.091200 9:0.822000 10:0.283000 11:0.761600 12:0.184500
1 1:0.623500 2:0.192000 3:1.090900 4:0.168500 5:1.179400 6:0.263400 7:1.007500 8:0.264500 9:1.161100 10:0.311700 11:1.011000 12:0.261500
1 1:0.211100 2:0.444500 3:0.317100 4:0.710000 5:0.273500 6:0.908700 7:0.250700 8:0.788100 9:0.371400 10:0.812300 11:0.302600 12:0.728600
1 1:0.344200 2:0.658100 3:0.666300 4:0.872100 5:0.589800 6:1.199100 7:0.650700 8:0.891300 9:0.599700 10:1.210200 11:0.587300 12:0.966400
